name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method
HATS-33 b,810.0,11.91,Gas Giant,2016,1.192,Jupiter,1.23,Jupiter,0.03727,0.0068446267,0.08,Transit
HATS-34 b,1660.0,13.857,Gas Giant,2016,0.941,Jupiter,1.43,Jupiter,0.03166,0.0057494864,0.108,Transit
HATS-35 b,1678.0,12.609,Gas Giant,2016,1.222,Jupiter,1.464,Jupiter,0.03199,0.004928131,0.306,Transit
HATS-36 b,2794.0,14.364,Gas Giant,2018,3.216,Jupiter,1.153,Jupiter,0.0523,0.011498973,0.11,Transit
HATS-37 A b,691.0,12.341,Neptune-like,2020,31.46517,Earth,0.606,Jupiter,0.04913,0.011772759,0.0,Transit
HATS-38 b,1121.0,11.967,Neptune-like,2020,23.51942,Earth,0.614,Jupiter,0.05036,0.012046544,0.0,Transit
HATS-39 b,2866.0,12.745,Gas Giant,2018,0.63,Jupiter,1.57,Jupiter,0.06007,0.012594113,0.275,Transit
HATS-3 b,1341.0,12.433,Gas Giant,2013,1.071,Jupiter,1.381,Jupiter,0.0485,0.009582478,0.0,Transit
HATS-40 b,4379.0,13.478,Gas Giant,2018,1.59,Jupiter,1.58,Jupiter,0.04997,0.009034907,0.312,Transit
HATS-41 b,2406.0,12.678,Gas Giant,2018,9.7,Jupiter,1.33,Jupiter,0.0583,0.011498973,0.38,Transit
HATS-42 b,2611.0,13.682,Gas Giant,2018,1.88,Jupiter,1.4,Jupiter,0.03689,0.0062970566,0.229,Transit
HATS-43 b,1182.0,13.562,Gas Giant,2018,0.261,Jupiter,1.18,Jupiter,0.04944,0.012046544,0.17,Transit
HATS-44 b,1455.0,14.397,Gas Giant,2018,0.56,Jupiter,1.067,Jupiter,0.03649,0.0073921974,0.279,Transit
HATS-45 b,2519.0,13.325,Gas Giant,2018,0.7,Jupiter,1.286,Jupiter,0.05511,0.011498973,0.24,Transit
HATS-46 b,1480.0,13.783,Gas Giant,2018,0.173,Jupiter,0.903,Jupiter,0.05367,0.012867898,0.559,Transit
HATS-47 b,981.0,14.602,Gas Giant,2020,0.369,Jupiter,1.117,Jupiter,0.04269,0.010677618,0.088,Transit
HATS-48 A b,860.0,14.226,Gas Giant,2020,0.243,Jupiter,0.8,Jupiter,0.03769,0.008487337,0.162,Transit
HATS-49 b,1058.0,14.988,Gas Giant,2020,0.353,Jupiter,0.765,Jupiter,0.04515,0.011225188,0.071,Transit
HATS-4 b,1358.0,13.516,Gas Giant,2014,1.323,Jupiter,1.02,Jupiter,0.0362,0.0068446267,0.01,Transit
HATS-50 b,2468.0,14.045,Gas Giant,2017,0.39,Jupiter,1.13,Jupiter,0.05046,0.010403832,0.516,Transit
HATS-51 b,1271.0,12.525,Gas Giant,2017,0.768,Jupiter,1.41,Jupiter,0.04639,0.009034907,0.33,Transit
HATS-52 b,1811.0,13.844,Gas Giant,2017,2.24,Jupiter,1.382,Jupiter,0.02498,0.003832991,0.246,Transit
HATS-53 b,1911.0,13.944,Gas Giant,2017,0.595,Jupiter,1.34,Jupiter,0.04753,0.010677618,0.33,Transit
HATS-54 b,2442.0,13.937,Gas Giant,2019,0.753,Jupiter,1.015,Jupiter,0.037,0.0068446267,0.0,Transit
HATS-55 b,1989.0,13.525,Gas Giant,2019,0.921,Jupiter,1.251,Jupiter,0.05412,0.011498973,0.092,Transit
HATS-56 b,1841.0,11.477,Gas Giant,2019,0.602,Jupiter,1.688,Jupiter,0.06043,0.011772759,0.019,Transit
HATS-57 b,912.0,12.333,Gas Giant,2019,3.147,Jupiter,1.139,Jupiter,0.03493,0.006570842,0.028,Transit
HATS-58 A b,1317.0,11.572,Gas Giant,2019,1.03,Jupiter,1.095,Jupiter,0.05798,0.011498973,0.168,Transit
HATS-59 b,2097.0,14.033,Gas Giant,2018,0.806,Jupiter,1.126,Jupiter,0.06112,0.014784395,0.13,Transit
HATS-59 c,2097.0,14.033,Gas Giant,2018,12.7,Jupiter,1.1,Jupiter,2.504,3.9,0.083,Radial Velocity
HATS-5 b,804.0,12.598,Gas Giant,2014,0.237,Jupiter,0.912,Jupiter,0.0542,0.013141684,0.02,Transit
HATS-60 b,1587.0,12.662,Gas Giant,2018,0.662,Jupiter,1.153,Jupiter,0.04708,0.009856262,0.19,Transit
HATS-61 b,2217.0,13.352,Gas Giant,2018,3.4,Jupiter,1.195,Jupiter,0.07908,0.021355236,0.09,Transit
HATS-62 b,1706.0,14.171,Gas Giant,2018,0.179,Jupiter,1.055,Jupiter,0.04163,0.009034907,0.3,Transit
HATS-63 b,2033.0,13.992,Gas Giant,2018,0.96,Jupiter,1.207,Jupiter,0.04026,0.008487337,0.14,Transit
HATS-64 b,3523.0,13.045,Gas Giant,2018,0.96,Jupiter,1.679,Jupiter,0.06562,0.013415469,0.15,Transit
HATS-65 b,1609.0,12.679,Gas Giant,2018,0.821,Jupiter,1.501,Jupiter,0.04497,0.008487337,0.06,Transit
HATS-66 b,4821.0,14.283,Gas Giant,2018,5.33,Jupiter,1.411,Jupiter,0.04714,0.008487337,0.06,Transit
HATS-67 b,3132.0,13.698,Gas Giant,2018,1.45,Jupiter,1.685,Jupiter,0.03032,0.0043805614,0.06,Transit
HATS-68 b,1970.0,12.312,Gas Giant,2018,1.29,Jupiter,1.232,Jupiter,0.05071,0.009856262,0.04,Transit
HATS-69 b,1352.0,14.074,Gas Giant,2018,0.577,Jupiter,0.945,Jupiter,0.03211,0.006023272,0.52,Transit
HATS-6 b,552.0,15.044,Gas Giant,2015,0.319,Jupiter,0.998,Jupiter,0.03623,0.009034907,0.0,Transit
HATS-70 b,4759.0,12.227,Gas Giant,2019,12.9,Jupiter,1.384,Jupiter,0.03632,0.005201916,0.18,Transit
HATS-71 b,457.0,16.437,Gas Giant,2020,0.37,Jupiter,1.024,Jupiter,0.03745,0.010403832,0.0,Transit
HATS-72 b,416.0,12.324,Gas Giant,2020,39.85588,Earth,0.722,Jupiter,0.066517,0.019986311,0.013,Transit
HATS-74 A b,977.0,17.26,Gas Giant,2021,1.46,Jupiter,1.032,Jupiter,0.02384,0.0046543465,0.044,Transit
HATS-75 b,636.0,15.689,Gas Giant,2021,0.491,Jupiter,0.884,Jupiter,0.032742,0.007665982,0.064,Transit
HATS-76 b,1258.0,16.68,Gas Giant,2021,2.629,Jupiter,1.079,Jupiter,0.02658,0.005201916,0.062,Transit
HATS-77 b,1423.0,16.195,Gas Giant,2021,1.374,Jupiter,1.165,Jupiter,0.03607,0.008487337,0.045,Transit
HATS-7 b,785.0,13.347,Gas Giant,2015,38.1396,Earth,0.563,Jupiter,0.04012,0.008761123,0.17,Transit
HATS-8 b,2592.0,14.512,Gas Giant,2015,0.138,Jupiter,0.873,Jupiter,0.04667,0.009856262,0.376,Transit
HATS-9 b,2083.0,13.256,Gas Giant,2015,0.837,Jupiter,1.236,Jupiter,0.0312,0.005201916,0.075,Transit
HD 100546 b,358.0,6.69,Gas Giant,2014,752.0,Jupiter,6.9,Jupiter,53.0,249.2,0.0,Direct Imaging
HD 100655 b,447.0,6.4421,Gas Giant,2011,1.61,Jupiter,1.21,Jupiter,0.68,0.4314853,0.09,Radial Velocity
HD 100777 b,162.0,8.42,Gas Giant,2007,1.03,Jupiter,1.23,Jupiter,1.03,1.0505134,0.36,Radial Velocity
HD 10180 c,127.0,7.33,Neptune-like,2010,13.1,Earth,0.328,Jupiter,0.06412,0.015879534,0.07,Radial Velocity
HD 10180 d,127.0,7.33,Neptune-like,2010,11.75,Earth,0.308,Jupiter,0.12859,0.044900753,0.13,Radial Velocity
HD 10180 e,127.0,7.33,Neptune-like,2010,25.1,Earth,0.481,Jupiter,0.2699,0.13607119,0.05,Radial Velocity
HD 10180 f,127.0,7.33,Neptune-like,2010,23.9,Earth,0.468,Jupiter,0.4929,0.33593428,0.12,Radial Velocity
HD 10180 g,127.0,7.33,Neptune-like,2010,21.4,Earth,0.438,Jupiter,1.427,1.7,0.26,Radial Velocity
HD 10180 h,127.0,7.33,Gas Giant,2010,0.203,Jupiter,0.838,Jupiter,3.381,6.0,0.1,Radial Velocity
HD 101930 b,98.0,8.21,Gas Giant,2005,0.25,Jupiter,0.949,Jupiter,0.3,0.19301848,0.11,Radial Velocity
HD 102117 b,129.0,7.47,Gas Giant,2005,0.17,Jupiter,0.756,Jupiter,0.15,0.056947295,0.12,Radial Velocity
HD 102195 b,96.0,8.07,Gas Giant,2006,0.41,Jupiter,1.27,Jupiter,0.05,0.011225188,0.0,Radial Velocity
HD 102272 b,1132.0,8.69,Gas Giant,2008,4.94,Jupiter,1.15,Jupiter,0.51,0.34934977,0.05,Radial Velocity
HD 102329 b,708.0,7.88,Gas Giant,2011,8.16,Jupiter,1.12,Jupiter,1.81,2.1,0.21,Radial Velocity
HD 102329 c,708.0,7.88,Gas Giant,2018,1.52,Jupiter,1.21,Jupiter,,3.1,0.21,Radial Velocity
HD 102365 b,30.0,4.89,Neptune-like,2010,16.0,Earth,0.369,Jupiter,0.46,0.33429158,0.34,Radial Velocity
HD 102843 b,205.0,9.26,Gas Giant,2019,0.35837,Jupiter,1.17,Jupiter,4.074,8.5,0.11,Radial Velocity
HD 102956 b,398.0,7.86,Gas Giant,2010,0.96,Jupiter,1.23,Jupiter,0.0807,0.01779603,0.04,Radial Velocity
HD 103197 b,186.0,9.4,Neptune-like,2009,28.6047,Earth,0.52,Jupiter,0.25,0.13086927,0.0,Radial Velocity
HD 103720 b,149.0,9.5,Gas Giant,2014,0.62,Jupiter,1.26,Jupiter,0.0498,0.012594113,0.09,Radial Velocity
HD 103774 b,184.0,7.13463,Gas Giant,2013,0.367,Jupiter,1.19,Jupiter,0.07,0.01615332,0.09,Radial Velocity
HD 103891 b,181.0,6.59451,Gas Giant,2022,1.44,Jupiter,1.21,Jupiter,3.27,5.3,0.31,Radial Velocity
HD 103949 b,86.0,8.7,Neptune-like,2019,11.2,Earth,0.299,Jupiter,0.439,0.33100617,0.19,Radial Velocity
HD 104067 b,66.0,7.92,Gas Giant,2009,0.16,Jupiter,0.729,Jupiter,0.26,0.15277207,0.0,Radial Velocity
HD 10442 b,442.0,7.828,Gas Giant,2014,1.487,Jupiter,1.21,Jupiter,2.01,2.8,0.13,Radial Velocity
HD 104985 b,328.0,5.79389,Gas Giant,2003,8.3,Jupiter,1.12,Jupiter,0.95,0.5462012,0.09,Radial Velocity
HD 105618 b,229.0,8.63,Neptune-like,2022,25.14472,Earth,0.482,Jupiter,0.09124,0.027378507,0.45,Radial Velocity
HD 105618 c,229.0,8.63,Gas Giant,2022,26.90216,Jupiter,1.07,Jupiter,35.74703,211.3,0.13,Radial Velocity
HD 105779 b,180.0,8.65,Gas Giant,2022,0.64,Jupiter,1.26,Jupiter,3.38,6.6,0.0,Radial Velocity
HD 106252 b,125.0,7.41,Gas Giant,2002,10.0,Jupiter,1.11,Jupiter,2.61,4.2,0.48,Radial Velocity
HD 106270 b,306.0,7.58,Gas Giant,2011,10.13,Jupiter,1.11,Jupiter,3.34,5.2,0.19,Radial Velocity
HD 106315 b,357.0,8.951,Super Earth,2017,12.6,Earth,0.218,Jupiter,0.0907,0.026283368,0.09,Transit
HD 106315 c,357.0,8.951,Neptune-like,2017,15.2,Earth,0.388,Jupiter,0.1536,0.057768654,0.22,Transit
HD 10647 b,57.0,5.52,Gas Giant,2006,0.94,Jupiter,1.23,Jupiter,2.015,2.7,0.15,Radial Velocity
HD 106515 A b,111.0,7.971,Gas Giant,2012,11.0719,Jupiter,1.11,Jupiter,4.496414,9.8,0.56,Radial Velocity
HD 106906 b,336.0,7.8,Gas Giant,2013,11.0,Jupiter,1.11,Jupiter,650.0,13538.6,0.0,Direct Imaging
HD 10697 b,108.0,6.28262,Gas Giant,1999,6.02397,Jupiter,1.14,Jupiter,2.050268,2.9,0.1,Radial Velocity
HD 107148 b,161.0,8.01,Gas Giant,2005,0.21,Jupiter,0.856,Jupiter,0.269,0.13169062,0.05,Radial Velocity
HD 107148 c,161.0,8.01,Neptune-like,2021,19.89606,Earth,0.42,Jupiter,0.1407,0.050102666,0.34,Radial Velocity
HD 108147 b,127.0,6.99,Gas Giant,2002,0.261,Jupiter,0.973,Jupiter,0.102,0.029842572,0.53,Radial Velocity
HD 108236 b,211.0,9.25,Super Earth,2020,3.24,Earth,1.615,Earth,0.04527,0.010403832,0.05,Transit
HD 108236 c,211.0,9.25,Super Earth,2020,4.94,Earth,2.071,Earth,0.062,0.016974675,0.03,Transit
HD 108236 d,211.0,9.25,Neptune-like,2020,6.98,Earth,0.227,Jupiter,0.1074,0.03887748,0.06,Transit
HD 108236 e,211.0,9.25,Neptune-like,2020,9.71,Earth,0.275,Jupiter,0.1367,0.053661875,0.06,Transit
HD 108236 f,211.0,9.25,Super Earth,2021,4.72,Earth,2.017,Earth,0.1758,0.080766596,0.05,Transit
HD 108341 b,160.0,9.38,Gas Giant,2014,3.5,Jupiter,1.17,Jupiter,2.0,3.1,0.85,Radial Velocity
HD 108863 b,537.0,7.71,Gas Giant,2011,2.414,Jupiter,1.18,Jupiter,1.32,1.1983573,0.03,Radial Velocity
HD 108874 b,194.0,8.76,Gas Giant,2002,1.42,Jupiter,1.21,Jupiter,1.04,1.0800822,0.13,Radial Velocity
HD 108874 c,194.0,8.76,Gas Giant,2005,0.99,Jupiter,1.23,Jupiter,2.659,4.4,0.24,Radial Velocity
HD 109246 b,221.0,8.751,Gas Giant,2010,0.86,Jupiter,1.24,Jupiter,0.33,0.18699522,0.12,Radial Velocity
HD 109271 b,182.0,8.04,Neptune-like,2013,17.162,Earth,0.385,Jupiter,0.079,0.02162902,0.25,Radial Velocity
HD 109271 c,182.0,8.04,Neptune-like,2013,24.154,Earth,0.47,Jupiter,0.196,0.08459959,0.15,Radial Velocity
HD 109286 b,181.0,8.78,Gas Giant,2021,2.99,Jupiter,1.17,Jupiter,1.259,1.4,0.34,Radial Velocity
HD 109749 b,206.0,8.08,Gas Giant,2005,0.27,Jupiter,0.993,Jupiter,0.0615,0.014236824,0.0,Radial Velocity
HD 10975 b,380.0,5.94188,Gas Giant,2021,0.45,Jupiter,1.28,Jupiter,0.95,0.77700204,0.44,Radial Velocity
HD 109833 b,260.0,9.29,Neptune-like,2022,8.69,Earth,0.258,Jupiter,,0.025188226,0.18,Transit
HD 109833 c,260.0,9.29,Neptune-like,2022,7.22,Earth,0.231,Jupiter,,0.038056124,0.3,Transit
HD 109988 b,139.0,8.9,Gas Giant,2022,21.16046,Jupiter,1.08,Jupiter,12.511098,46.9,0.06,Radial Velocity
HD 110014 b,329.0,4.64597,Gas Giant,2009,11.09,Jupiter,1.11,Jupiter,2.14,2.3,0.46,Radial Velocity
HD 110082 b,343.0,9.23,Neptune-like,2021,10.3,Earth,0.285,Jupiter,0.113,0.027926078,0.2,Transit
HD 110113 b,347.0,10.09,Neptune-like,2021,4.55,Earth,2.05,Earth,0.035,0.0068446267,0.09,Transit
HD 110113 c,347.0,10.09,Neptune-like,2021,10.5,Earth,0.288,Jupiter,0.068,0.0183436,0.05,Radial Velocity
HD 110537 b,147.0,7.83,Gas Giant,2022,27.19954,Jupiter,1.06,Jupiter,16.589764,67.0,0.4,Radial Velocity
HD 11112 b,145.0,7.13,Gas Giant,2022,7.64087,Jupiter,1.13,Jupiter,13.503729,47.2,0.29,Radial Velocity
HD 111232 b,94.0,7.59,Gas Giant,2003,8.26484,Jupiter,1.12,Jupiter,2.147271,3.2,0.21,Radial Velocity
HD 111232 c,94.0,7.59,Gas Giant,2022,19.1473,Jupiter,1.08,Jupiter,17.20592,72.5,0.56,Radial Velocity
HD 111591 b,372.0,6.417,Gas Giant,2017,4.4,Jupiter,1.15,Jupiter,2.5,2.9,0.26,Radial Velocity
HD 111998 b,108.0,6.11006,Gas Giant,2016,4.51,Jupiter,1.15,Jupiter,1.82,2.3,0.03,Radial Velocity
HD 112640 b,1055.0,6.53649,Gas Giant,2020,5.0,Jupiter,1.15,Jupiter,1.7,1.7,0.24,Radial Velocity
HD 113337 b,118.0,6.02078,Gas Giant,2013,3.24706,Jupiter,1.17,Jupiter,1.021796,0.8695414,0.28,Radial Velocity
HD 113337 c,118.0,6.02078,Gas Giant,2022,19.72438,Jupiter,1.08,Jupiter,6.82814,14.9,0.16,Radial Velocity
HD 11343 c,506.0,7.88,Gas Giant,2022,0.79726,Jupiter,1.24,Jupiter,0.922152,0.6255989,0.17,Radial Velocity
HD 113538 b,53.0,9.05,Gas Giant,2010,0.36,Jupiter,1.18,Jupiter,1.24,1.8,0.14,Radial Velocity
HD 113538 c,53.0,9.05,Gas Giant,2010,0.93,Jupiter,1.24,Jupiter,2.44,5.0,0.2,Radial Velocity
HD 113996 b,379.0,4.77044,Gas Giant,2017,6.3,Jupiter,1.14,Jupiter,1.6,1.7,0.28,Radial Velocity
HD 114082 b,311.0,8.2,Gas Giant,2022,8.0,Jupiter,1.0,Jupiter,0.5109,0.30061603,0.4,Radial Velocity
HD 114386 b,91.0,8.73,Gas Giant,2003,1.14,Jupiter,1.22,Jupiter,1.73,2.6,0.23,Radial Velocity
HD 114613 b,66.0,4.85,Gas Giant,2014,0.357,Jupiter,1.17,Jupiter,5.34,11.0,0.46,Radial Velocity
HD 114729 b,123.0,6.68,Gas Giant,2002,0.825,Jupiter,1.24,Jupiter,2.067,3.1,0.08,Radial Velocity
HD 114783 b,69.0,7.56,Gas Giant,2001,1.1,Jupiter,1.23,Jupiter,1.16,1.351677,0.14,Radial Velocity
HD 114783 c,69.0,7.56,Gas Giant,2018,0.611,Jupiter,1.26,Jupiter,4.97,11.8,0.0,Radial Velocity
HD 11505 b,127.0,7.43,Gas Giant,2022,8.33652,Jupiter,1.12,Jupiter,20.331533,89.5,0.14,Radial Velocity
HD 11506 b,167.0,7.51,Gas Giant,2007,5.40173,Jupiter,1.14,Jupiter,2.798425,4.4,0.39,Radial Velocity
HD 11506 c,167.0,7.51,Gas Giant,2008,0.3645,Jupiter,1.18,Jupiter,0.749283,0.61327857,0.23,Radial Velocity
HD 11506 d,167.0,7.51,Gas Giant,2022,7.69861,Jupiter,1.13,Jupiter,12.245208,40.3,0.06,Radial Velocity
HD 115404 A b,36.0,6.50066,Neptune-like,2022,30.03873,Earth,0.535,Jupiter,0.088127,0.028747434,0.23,Radial Velocity
HD 115404 A c,36.0,6.50066,Gas Giant,2022,10.38165,Jupiter,1.11,Jupiter,11.294908,42.0,0.21,Radial Velocity
HD 115954 b,286.0,8.34,Gas Giant,2021,8.29,Jupiter,1.12,Jupiter,5.0,10.1,0.49,Radial Velocity
HD 116029 b,402.0,7.88,Gas Giant,2011,1.4,Jupiter,1.21,Jupiter,1.65,1.8,0.0,Radial Velocity
HD 116029 c,402.0,7.88,Gas Giant,2018,1.27,Jupiter,1.22,Jupiter,,2.5,0.04,Radial Velocity
HD 117207 b,106.0,7.26,Gas Giant,2004,1.926,Jupiter,1.2,Jupiter,3.787,7.2,0.16,Radial Velocity
HD 11755 b,767.0,6.88269,Gas Giant,2015,5.63,Jupiter,1.14,Jupiter,1.09,1.187406,0.19,Radial Velocity
HD 117618 b,123.0,7.17,Gas Giant,2004,0.174,Jupiter,0.766,Jupiter,0.18,0.07063655,0.15,Radial Velocity
HD 118203 b,301.0,8.05,Gas Giant,2005,2.79,Jupiter,1.172,Jupiter,0.07,0.01670089,0.31,Radial Velocity
HD 11964 b,109.0,6.41525,Gas Giant,2005,0.622,Jupiter,1.26,Jupiter,3.16,5.3,0.04,Radial Velocity
HD 11964 c,109.0,6.41525,Neptune-like,2008,25.0,Earth,0.48,Jupiter,0.229,0.10376455,0.3,Radial Velocity
HD 11977 b,222.0,4.68,Gas Giant,2005,6.54,Jupiter,1.13,Jupiter,1.93,1.9,0.4,Radial Velocity
HD 120084 b,336.0,5.90686,Gas Giant,2013,7.67534,Jupiter,1.13,Jupiter,4.332646,5.7,0.73,Radial Velocity
HD 121504 b,136.0,7.54,Gas Giant,2003,1.51,Jupiter,1.21,Jupiter,0.33,0.17330596,0.03,Radial Velocity
HD 12235 b,104.0,5.88051,Neptune-like,2022,10.33369,Earth,0.285,Jupiter,0.053918,0.012046544,0.38,Radial Velocity
HD 12235 c,104.0,5.88051,Gas Giant,2022,9.97867,Jupiter,1.11,Jupiter,22.1877,99.6,0.17,Radial Velocity
HD 122562 c,174.0,7.659,Gas Giant,2022,0.22921,Jupiter,0.901,Jupiter,0.406294,0.23271732,0.23,Radial Velocity
HD 124330 b,196.0,7.88,Gas Giant,2021,0.75,Jupiter,1.25,Jupiter,0.86,0.74113625,0.34,Radial Velocity
HD 12484 b,158.0,8.18,Gas Giant,2016,2.98,Jupiter,1.17,Jupiter,0.297,0.16098562,0.07,Radial Velocity
HD 125271 b,128.0,9.68,Gas Giant,2022,11.05674,Jupiter,1.11,Jupiter,10.780317,40.8,0.17,Radial Velocity
HD 125390 b,501.0,8.21,Gas Giant,2019,28.83791,Jupiter,1.06,Jupiter,3.49516,4.8,0.6,Radial Velocity
HD 125595 b,92.0,9.03,Neptune-like,2009,6.3566,Earth,0.214,Jupiter,0.08,0.026557151,0.0,Radial Velocity
HD 125612 b,188.0,8.31,Gas Giant,2007,2.97102,Jupiter,1.17,Jupiter,1.348279,1.5,0.45,Radial Velocity
HD 125612 c,188.0,8.31,Neptune-like,2009,15.17685,Earth,0.358,Jupiter,0.051386,0.011498973,0.15,Radial Velocity
HD 125612 d,188.0,8.31,Gas Giant,2009,7.40145,Jupiter,1.13,Jupiter,3.979432,7.7,0.11,Radial Velocity
HD 12648 b,594.0,6.98656,Gas Giant,2015,1.96,Jupiter,1.2,Jupiter,0.54,0.3657769,0.04,Radial Velocity
HD 126525 b,123.0,7.85,Gas Giant,2018,0.237,Jupiter,0.919,Jupiter,1.837,2.6,0.04,Radial Velocity
HD 126614 b,238.0,8.81,Gas Giant,2009,0.37745,Jupiter,1.21,Jupiter,2.248182,3.4,0.55,Radial Velocity
HD 12661 b,123.0,7.43,Gas Giant,2000,2.43,Jupiter,1.18,Jupiter,0.84,0.71923345,0.38,Radial Velocity
HD 12661 c,123.0,7.43,Gas Giant,2002,1.812,Jupiter,1.2,Jupiter,2.8145,4.7,0.03,Radial Velocity
HD 127506 b,73.0,8.7,Neptune-like,2022,26.61699,Earth,0.498,Jupiter,0.287149,0.18015058,0.24,Radial Velocity
HD 128311 b,53.0,7.48,Gas Giant,2002,1.769,Jupiter,1.2,Jupiter,1.084,1.2402464,0.3,Radial Velocity
HD 128311 c,53.0,7.48,Gas Giant,2005,3.789,Jupiter,1.16,Jupiter,1.74,2.5,0.16,Radial Velocity
HD 128356 b,85.0,8.2411,Gas Giant,2016,0.89,Jupiter,1.24,Jupiter,0.87,0.8164271,0.57,Radial Velocity
HD 129445 b,220.0,8.8,Gas Giant,2009,1.6,Jupiter,1.21,Jupiter,2.9,5.0,0.7,Radial Velocity
HD 130322 b,104.0,8.04,Gas Giant,1999,1.15,Jupiter,1.22,Jupiter,0.0925,0.029295003,0.03,Radial Velocity
HD 131496 b,430.0,7.8,Gas Giant,2011,1.8,Jupiter,1.2,Jupiter,2.01,2.5,0.18,Radial Velocity
HD 13167 b,486.0,8.34,Gas Giant,2018,3.31,Jupiter,1.17,Jupiter,4.1,7.2,0.56,Radial Velocity
HD 13189 b,1624.0,7.57,Gas Giant,2005,10.95,Jupiter,1.11,Jupiter,1.25,1.2911705,0.27,Radial Velocity
HD 132406 b,231.0,8.45,Gas Giant,2007,5.38,Jupiter,1.14,Jupiter,1.98,2.7,0.34,Radial Velocity
HD 132563 b,343.0,8.928001,Gas Giant,2011,1.49,Jupiter,1.21,Jupiter,2.62,4.2,0.22,Radial Velocity
HD 133131 A b,168.0,7.66,Gas Giant,2016,1.42,Jupiter,1.21,Jupiter,1.44,1.8,0.33,Radial Velocity
HD 133131 A c,168.0,7.66,Gas Giant,2016,0.42,Jupiter,1.28,Jupiter,4.49,9.8,0.49,Radial Velocity
HD 133131 B b,167.0,8.413,Gas Giant,2016,2.5,Jupiter,1.18,Jupiter,6.15,15.8,0.61,Radial Velocity
HD 134060 b,78.0,6.29,Neptune-like,2019,10.1,Earth,0.282,Jupiter,0.0444,0.009034907,0.45,Radial Velocity
HD 134060 c,78.0,6.29,Neptune-like,2019,29.29,Earth,0.527,Jupiter,2.3928,3.5,0.11,Radial Velocity
HD 134987 b,85.0,6.47,Gas Giant,1999,1.61,Jupiter,1.21,Jupiter,0.81,0.7069131,0.23,Radial Velocity
HD 134987 c,85.0,6.47,Gas Giant,2009,0.82,Jupiter,1.24,Jupiter,5.8,13.7,0.12,Radial Velocity
HD 135872 b,269.0,7.28103,Gas Giant,2022,5.91708,Jupiter,1.14,Jupiter,4.183784,6.6,0.16,Radial Velocity
HD 136118 b,168.0,6.9456,Gas Giant,2022,13.1353,Jupiter,1.1,Jupiter,2.325263,3.3,0.34,Radial Velocity
HD 136352 b,48.0,5.65,Super Earth,2019,4.72,Earth,1.664,Earth,0.0964,0.03175907,0.0,Radial Velocity
HD 136352 c,48.0,5.65,Neptune-like,2019,11.24,Earth,0.26,Jupiter,0.1721,0.07556468,0.0,Radial Velocity
HD 136352 d,48.0,5.65,Neptune-like,2019,8.82,Earth,0.229,Jupiter,0.425,0.2934976,0.0,Radial Velocity
HD 136418 b,343.0,7.849,Gas Giant,2009,2.14,Jupiter,1.19,Jupiter,1.29,1.2711841,0.25,Radial Velocity
HD 136925 b,156.0,7.91433,Gas Giant,2021,0.84,Jupiter,1.24,Jupiter,5.13,12.4,0.1,Radial Velocity
HD 13724 c,142.0,7.89,Gas Giant,2022,0.16127,Jupiter,0.733,Jupiter,0.534309,0.38932237,0.65,Radial Velocity
HD 137388 b,132.0,8.71,Gas Giant,2011,0.2,Jupiter,0.832,Jupiter,0.89,0.9034908,0.36,Radial Velocity
HD 137496 b,507.0,9.899,Super Earth,2021,4.04,Earth,1.31,Earth,0.02732,0.0043805614,0.0,Transit
HD 137496 c,507.0,9.899,Gas Giant,2021,7.66,Jupiter,1.13,Jupiter,1.2163,1.3138946,0.48,Radial Velocity
HD 13808 b,92.0,8.36,Neptune-like,2021,11.2,Earth,0.299,Jupiter,0.10519,0.03887748,0.07,Radial Velocity
HD 13808 c,92.0,8.36,Neptune-like,2021,9.96,Earth,0.279,Jupiter,0.2554,0.14729637,0.16,Radial Velocity
HD 13908 b,259.0,7.52,Gas Giant,2013,0.865,Jupiter,1.24,Jupiter,0.154,0.053114302,0.02,Radial Velocity
HD 13908 c,259.0,7.52,Gas Giant,2013,5.13,Jupiter,1.15,Jupiter,2.03,2.6,0.12,Radial Velocity
HD 13931 b,155.0,7.61,Gas Giant,2009,2.2,Jupiter,1.19,Jupiter,5.15,11.6,0.02,Radial Velocity
HD 139357 b,366.0,5.97272,Gas Giant,2008,19.87087,Jupiter,1.08,Jupiter,2.948979,3.1,0.1,Radial Velocity
HD 1397 b,260.0,7.79,Gas Giant,2018,0.415,Jupiter,1.026,Jupiter,0.1097,0.031485286,0.25,Transit
HD 14067 b,463.0,6.53329,Gas Giant,2014,15.73735,Jupiter,1.09,Jupiter,5.250541,7.5,0.68,Radial Velocity
HD 140901 b,50.0,6.01,Neptune-like,2022,14.64775,Earth,0.35,Jupiter,0.084501,0.024640657,0.47,Radial Velocity
HD 140901 c,50.0,6.01,Gas Giant,2022,5.30264,Jupiter,1.14,Jupiter,7.343138,20.3,0.61,Radial Velocity
HD 141004 b,39.0,4.4154,Neptune-like,2021,13.63484,Earth,0.336,Jupiter,0.1238,0.042436685,0.16,Radial Velocity
HD 141399 b,121.0,7.20856,Gas Giant,2014,0.451,Jupiter,1.28,Jupiter,0.415,0.25845313,0.04,Radial Velocity
